representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
egemaps,speaker_independent,emotion_original,logistic_regression,rfecv,0,88,43,960,240,2.601858400041237,0.5167591871965358,0.53125,0.53125,0.5262097996763049,0.5166666666666667,,,,,,0.4836805555555556,,,
egemaps,speaker_independent,emotion_original,logistic_regression,rfecv,1,88,48,960,240,2.517969300039113,0.4941842903911869,0.5078125,0.5078125,0.4874902701109597,0.4958333333333333,,,,,,0.5022569444444444,,,
egemaps,speaker_independent,emotion_original,logistic_regression,rfecv,2,88,88,960,240,2.204170700046234,0.5483959532662288,0.55859375,0.55859375,0.5525232510515449,0.5583333333333333,,,,,,0.4694444444444445,,,
egemaps,speaker_independent,emotion_original,logistic_regression,rfecv,3,88,63,960,240,2.3711638000095263,0.4123285809254192,0.4296875,0.4296875,0.4306217506882632,0.45,,,,,,0.4987847222222223,,,
egemaps,speaker_independent,emotion_original,logistic_regression,rfecv,4,88,38,960,240,2.4395860999356955,0.4872457642035848,0.484375,0.484375,0.5049140003356757,0.5,,,,,,0.4708333333333334,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,rfecv,0,88,33,960,240,2.342967599979602,0.565151592650534,0.5768229166666666,0.5768229166666666,0.6057374961467672,0.5875,,,,,,0.5681712962962964,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,rfecv,1,88,68,960,240,1.760503500001505,0.5267857142857143,0.5403645833333334,0.5403645833333334,0.557124400147656,0.5458333333333333,,,,,,0.5954282407407407,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,rfecv,2,88,78,960,240,2.0114281000569463,0.5996390452035614,0.61328125,0.61328125,0.6331325460357717,0.6291666666666667,,,,,,0.5542824074074074,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,rfecv,3,88,28,960,240,2.1165385999483988,0.4944382532187601,0.50390625,0.50390625,0.5522929094268269,0.5916666666666667,,,,,,0.5912037037037038,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,rfecv,4,88,13,960,240,2.200624299934134,0.5700477134697962,0.6015625,0.6015625,0.592109301157994,0.6,,,,,,0.5615740740740741,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,rfecv,0,88,43,960,240,2.46657860011328,0.5947342074738573,0.6145833333333334,0.6145833333333334,0.6296302176824544,0.6333333333333333,0.5167591871965358,0.53125,0.53125,0.5262097996763049,0.5166666666666667,0.4836805555555556,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,rfecv,1,88,48,960,240,2.4009132001083344,0.5765785953631257,0.6002604166666666,0.6002604166666666,0.6031557532110019,0.6041666666666666,0.4941842903911869,0.5078125,0.5078125,0.4874902701109597,0.4958333333333333,0.5022569444444444,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,rfecv,2,88,88,960,240,2.0526163999456912,0.600818785336182,0.6041666666666666,0.6041666666666666,0.6259200052419671,0.625,0.5483959532662288,0.55859375,0.55859375,0.5525232510515449,0.5583333333333333,0.4694444444444445,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,rfecv,3,88,63,960,240,2.453550499980338,0.5169865793519001,0.5182291666666667,0.5182291666666667,0.5748224026197135,0.5958333333333333,0.4123285809254192,0.4296875,0.4296875,0.4306217506882632,0.45,0.4987847222222223,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,rfecv,4,88,38,960,240,2.461814900045283,0.6092728155549502,0.6158854166666667,0.6158854166666667,0.6485743609272248,0.65,0.4872457642035848,0.484375,0.484375,0.5049140003356757,0.5,0.4708333333333334,,,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_90,0,88,31,960,240,0.0647634000051766,0.4419194908733004,0.44921875,0.44921875,0.4550065212590058,0.45,,,,,,,31.0,0.9037782549858092,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_90,1,88,31,960,240,0.0575857000658288,0.4127003945904052,0.42578125,0.42578125,0.4249756589916703,0.4375,,,,,,,31.0,0.9025691747665404,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_90,2,88,32,960,240,0.0573786000022664,0.5173783677985201,0.53125,0.53125,0.5215672286820577,0.525,,,,,,,32.0,0.90518319606781,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_90,3,88,31,960,240,0.0626057999907061,0.425366205947164,0.4375,0.4375,0.4352054344917898,0.4458333333333333,,,,,,,31.0,0.901405394077301,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_90,4,88,31,960,240,0.0569066000171005,0.463713029625481,0.47265625,0.47265625,0.475579612552894,0.475,,,,,,,31.0,0.9011746644973756,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_95,0,88,40,960,240,0.0605468000285327,0.4696216388273485,0.48046875,0.48046875,0.4794243717384189,0.4708333333333333,,,,,,,40.0,0.9505990743637084,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_95,1,88,40,960,240,0.0591672000009566,0.4321060627914092,0.44921875,0.44921875,0.4355163082473444,0.4458333333333333,,,,,,,40.0,0.952466368675232,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_95,2,88,40,960,240,0.063294899999164,0.5039564027171763,0.51953125,0.51953125,0.5102030688812274,0.5208333333333334,,,,,,,40.0,0.9504958391189576,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_95,3,88,41,960,240,0.0602882000384852,0.4752766394336182,0.484375,0.484375,0.4861284153958594,0.4958333333333333,,,,,,,41.0,0.9535608291625975,
egemaps,speaker_independent,emotion_original,logistic_regression,pca_95,4,88,40,960,240,0.0590812000446021,0.4605988931548652,0.46875,0.46875,0.4686104505708633,0.4666666666666667,,,,,,,40.0,0.951108455657959,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_90,0,88,31,960,240,0.0465103000169619,0.5315869608118391,0.5690104166666667,0.5690104166666667,0.5459525369292096,0.5458333333333333,,,,,,,31.0,0.9037782549858092,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_90,1,88,31,960,240,0.0440473000053316,0.5547571227804892,0.5807291666666666,0.5807291666666666,0.5805173288921774,0.5708333333333333,,,,,,,31.0,0.9025691747665404,
